method,test_role,aggregation_type,sample_count,rmse,mae,relative_l2,maximum_absolute_error,source_integral_error,source_peak_value_error,source_peak_location_distance,nonnegative_violation_fraction,boundary_maximum_absolute,physics_temperature_rmse,physics_temperature_mae,clean_sensor_residual_rms,noisy_measurement_residual_rms,clean_relative_sensor_residual,noisy_relative_sensor_residual,noisy_sensor_reference_squared_sum,noisy_sensor_squared_error_sum,temperature_squared_error_sum,source_integral_error_sum,boundary_value_count,source_absolute_error_sum,nonnegative_violation_count,temperature_node_count,source_global_maximum_absolute,source_target_squared_sum,source_valid_node_count,clean_sensor_reference_squared_sum,temperature_absolute_error_sum,boundary_global_maximum_absolute,clean_sensor_squared_error_sum,source_squared_error_sum,noisy_sensor_count,clean_sensor_count
smoothness,test_ood_shape,pooled_global,84,0.5272364286691388,0.2920029770007889,0.9240483589146501,3.522160053779053,7078.09951197765,,,0.0,0.0,0.0045924486714189715,0.0025457415799569373,0.0045063303899983915,0.004553433952912814,0.3218853489079193,0.3246190831461698,1.5205373866089003,0.16023050318063103,1.8141277421239317,7078.09951197765,10416.0,22075.42506125964,0.0,86016.0,3.522160053779053,24611.7907782603,75600.0,1.5146446444261992,218.97450774157593,0.0,0.15693260097578454,21015.15582971356,7728.0,7728.0
direct_sparse_mask,all_test_roles,mean_per_sample,360,0.24903441135752016,0.11433220191128705,0.46773225796340656,1.5119479185010443,-2.779981732921066,-0.07097420052536088,3.836804293066238,0.0,0.0,0.0015470465479173307,0.001001842928213325,0.0015857278326223201,0.0023261761303700608,0.13280615806595394,0.17028543894408227,,,,,,,,,,,,,,,,,,
direct_sparse_mask,all_test_roles,pooled_global,360,0.3017542944372766,0.11433220191128712,0.41088320943820966,4.791578906562347,-1000.7934238515844,,,0.0,0.0,0.0021476177354813088,0.0010018429282133245,0.0019998965671495757,0.003328803399032275,0.07600047793520369,0.1256402191373622,23.36158149910417,0.36877341926992585,1.7002642407335846,-1000.7934238515844,44640.0,37043.63341925703,0.0,368640.0,4.791578906562347,174749.17756694998,324000.0,23.0444178118895,369.3193770565599,0.0,0.13310623137499278,29502.031964473706,33280.0,33280.0
full_residual_attention,all_test_roles,mean_per_sample,360,0.24748098114205982,0.11080556407496558,0.4638428343660948,1.5280591977245617,-15.351177499913108,-0.17222375366437195,4.101672624230886,0.0,0.0,0.0017757318154738718,0.0011635870945634983,0.0018389420350539407,0.0025907510587485647,0.1685718835289822,0.20380568914513095,,,,,,,,,,,,,,,,,,
full_residual_attention,all_test_roles,pooled_global,360,0.2982591686674208,0.11080556407496564,0.4061240775213413,5.0031256253067955,-5526.423899968718,,,0.0,0.0,0.0023120214600143014,0.0011635870945634994,0.002276333831220478,0.003523844629339162,0.0865057033221511,0.13300173016072328,23.36158149910417,0.41325376673892333,1.9705441928847345,-5526.423899968718,44640.0,35901.002760288866,0.0,368640.0,5.0031256253067955,174749.17756694998,324000.0,23.0444178118895,428.9447465398884,0.0,0.1724468332673682,28822.564268914633,33280.0,33280.0
identity,all_test_roles,mean_per_sample,360,0.5328090992430822,0.2549488957138826,0.8981589684777315,2.306674474529287,-161.47785312944998,-2.200320427281057,4.225415925086922,0.001719135802469136,0.0,0.012773946038267722,0.008835181107792358,0.014198716931181608,0.014423667142188165,0.7316823623207129,0.7379706780714157,,,,,,,,,,,,,,,,,,
identity,all_test_roles,pooled_global,360,0.6445360794608159,0.25494889571388263,0.8776314299733321,7.382326328922895,-58132.02712660197,,,0.0017191358024691357,0.0,0.01812431938682301,0.008835181107792358,0.019840187087152832,0.020079431683472402,0.7539708431504579,0.7578651829058367,23.36158149910417,13.417949433615515,121.09490500075995,-58132.02712660197,44640.0,82603.44221129797,557.0,368640.0,7.382326328922895,174749.17756694998,324000.0,23.0444178118895,3257.0011635765745,0.0,13.10010702717936,134598.269503457,33280.0,33280.0
residual_no_attention,all_test_roles,mean_per_sample,360,0.24421871226672745,0.11394580491568408,0.44315703001028484,1.4580530795481614,3.3761739660737287,0.044213195252606356,3.782584862890629,0.0,0.0,0.0014054112796952178,0.000930982011772404,0.0014390279833152017,0.002161158351213125,0.10500692849671481,0.14372840441923093,,,,,,,,,,,,,,,,,,
residual_no_attention,all_test_roles,pooled_global,360,0.3006723529724522,0.11394580491568412,0.4094099857271094,4.614053505117129,1215.4226277865423,,,0.0,0.0,0.001933681042936099,0.0009309820117724041,0.0018050613202718762,0.003182783700871269,0.06859630907739442,0.12012894536233129,23.36158149910417,0.33713013023977867,1.3783900726187603,1215.4226277865423,44640.0,36918.44079268166,0.0,368640.0,4.614053505117129,174749.17756694998,324000.0,23.0444178118895,343.19720881977906,0.0,0.10843443919165807,29290.851884805044,33280.0,33280.0
smoothness,all_test_roles,mean_per_sample,360,0.5178912266403415,0.395973487244737,0.8855016506667464,1.9882394591100545,127.4591069830208,-1.908314780058358,7.334595024064473,0.0,0.0,0.004880624361648053,0.00364776963133747,0.005115798698133392,0.00560400027875746,0.3103014977544523,0.33238026466324655,,,,,,,,,,,,,,,,,,
smoothness,all_test_roles,pooled_global,360,0.619646411069031,0.39597348724473713,0.8437404563593838,6.7857536751793015,45885.27851388751,,,0.0,0.0,0.006234572832639371,0.0036477696313374688,0.006400887225048929,0.007050084158167938,0.2432478240644304,0.26609385187078666,23.36158149910417,1.6541386912876972,14.32899934819796,45885.27851388751,44640.0,128295.40986729483,0.0,368640.0,6.7857536751793015,174749.17756694998,324000.0,23.0444178118895,1344.7137968962445,0.0,1.3635267698722038,124403.58261923667,33280.0,33280.0
